            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2426250.500000000, A.D. 1930-Oct-01 00:00:00.0000, -2.077514373535545E+03,  2.344043689454335E+03, -5.545667199861494E+03,
2426281.500000000, A.D. 1930-Nov-01 00:00:00.0000, -3.999789617532979E+03,  8.019026952751628E+02, -4.891182532345618E+03,
2426311.500000000, A.D. 1930-Dec-01 00:00:00.0000, -4.798374476868661E+03, -1.344147420762968E+03, -3.966598236893769E+03,
2426342.500000000, A.D. 1931-Jan-01 00:00:00.0000, -4.303444255428178E+03, -3.637723908984693E+03, -2.968562578818310E+03,
2426373.500000000, A.D. 1931-Feb-01 00:00:00.0000, -2.605727941412926E+03, -5.378590555255537E+03, -2.201357993646870E+03,
2426401.500000000, A.D. 1931-Mar-01 00:00:00.0000, -4.257684535330521E+02, -6.068397264291258E+03, -1.886347621371931E+03,
2426432.500000000, A.D. 1931-Apr-01 00:00:00.0000,  2.086008694526529E+03, -5.659545846764731E+03, -2.045272602042302E+03,
2426462.500000000, A.D. 1931-May-01 00:00:00.0000,  3.978741353704354E+03, -4.199382160267429E+03, -2.664552156420961E+03,
2426493.500000000, A.D. 1931-Jun-01 00:00:00.0000,  4.849882504017557E+03, -1.998439589606406E+03, -3.612465970200307E+03,
2426523.500000000, A.D. 1931-Jul-01 00:00:00.0000,  4.417533573510866E+03,  2.310755334314756E+02, -4.582251925275471E+03,
2426554.500000000, A.D. 1931-Aug-01 00:00:00.0000,  2.773642034697991E+03,  2.015020216858838E+03, -5.367647051636652E+03,
2426585.500000000, A.D. 1931-Sep-01 00:00:00.0000,  3.671755694263313E+02,  2.781940161803710E+03, -5.717606362744558E+03,
2426615.500000000, A.D. 1931-Oct-01 00:00:00.0000, -2.058822667406632E+03,  2.352588763492039E+03, -5.549018545292556E+03,
2426646.500000000, A.D. 1931-Nov-01 00:00:00.0000, -3.988434535086441E+03,  8.182745406023942E+02, -4.897739092425078E+03,
